row_name,uniq_idx,uniq_idx_sum,entro,vec_sum,sim_sum,sim_min,sim_max,is_sampled,uniq_rank,id,lon,lat
TQ4488d,0.80776,40387.97894,10.44486,1.60439,9612.02106,0,1,True,414523.5,TQ4488d,544250,188750
TQ4489a,0.73625,36812.70692,10.53234,2.36301,13187.29308,0,0.99997,True,824702,TQ4489a,544250,189250
TQ4489b,0.7338,36690.21716,10.52109,2.46219,13309.78284,0,0.99975,True,839620.5,TQ4489b,544750,189250
TQ4489c,0.80333,40166.55578,10.45484,1.63379,9833.44422,0,1,True,447092,TQ4489c,544750,189750
TQ4489d,0.73095,36547.50919,10.52002,2.52982,13452.49081,0,0.99999,True,857940,TQ4489d,544250,189750
TQ4490a,0.72634,36316.96146,10.5157,2.59132,13683.03854,0,0.99998,True,884212,TQ4490a,544250,190250
TQ4490b,0.73468,36733.83333,10.51044,3.57648,13266.16667,0,0.99956,True,834218,TQ4490b,544750,190250
TQ4490c,0.78066,39033.04383,10.5215,3.61758,10966.95617,0,0.91262,True,572555,TQ4490c,544750,190750
TQ4490d,0.7596,37980.07182,10.50817,2.62325,12019.92818,0,1,True,688212,TQ4490d,544250,190750
TQ4491a,0.75404,37702.03916,10.5055,2.54944,12297.96084,0,0.99956,True,720143,TQ4491a,544250,191250
TQ4491b,0.76249,38124.43593,10.50491,2.58521,11875.56407,0,0.99991,True,671619.5,TQ4491b,544750,191250
TQ4491d,0.78132,39066.16909,10.51943,3.60586,10933.83091,0,0.91304,True,569093.5,TQ4491d,544250,191750
TQ4557a,0.79699,39849.2522,10.38136,3.30534,10150.7478,0,0.99493,True,480869,TQ4557a,545250,157250
TQ4557d,0.72834,36417.03899,10.28709,1.56364,13582.96101,0,1,True,872753,TQ4557d,545250,157750
TQ4558a,0.72589,36294.25509,10.29801,1.58333,13705.74491,0,1,True,886857,TQ4558a,545250,158250
TQ4558d,0.72373,36186.53595,10.3075,1.60131,13813.46405,0,1,True,898950,TQ4558d,545250,158750
TQ4559a,0.72182,36090.85058,10.31586,1.61788,13909.14942,0,1,True,909776,TQ4559a,545250,159250
TQ4559d,0.72014,36007.11163,10.32314,1.6329,13992.88837,0,1,True,922757,TQ4559d,545250,159750
TQ4560a,0.72034,36017.14656,10.32227,1.63107,13982.85344,0,1,True,921651.5,TQ4560a,545250,160250
TQ4560b,0.72137,36068.71304,10.31779,1.6218,13931.28696,0,1,True,912376,TQ4560b,545750,160250
TQ4560c,0.72285,36142.71286,10.31134,1.60883,13857.28714,0,1,True,903910,TQ4560c,545750,160750
TQ4560d,0.72164,36082.21141,10.31662,1.61941,13917.78859,0,1,True,910769.5,TQ4560d,545250,160750
TQ4561a,0.72298,36149.08609,10.31078,1.60773,13850.91391,0,1,True,903218,TQ4561a,545250,161250
TQ4561b,0.72438,36219.15062,10.30464,1.59579,13780.84938,0,1,True,895326,TQ4561b,545750,161250
TQ4561c,0.72597,36298.39255,10.29765,1.58266,13701.60745,0,1,True,886383,TQ4561c,545750,161750
TQ4561d,0.72435,36217.46923,10.30479,1.59608,13782.53077,0,1,True,895506.5,TQ4561d,545250,161750
TQ4562a,0.72569,36284.67615,10.29886,1.5849,13715.32385,0,1,True,887965,TQ4562a,545250,162250
TQ4562b,0.72759,36379.40596,10.29045,1.56959,13620.59404,0,1,True,877047,TQ4562b,545750,162250
TQ4562c,0.72916,36458.23752,10.28339,1.55722,13541.76248,0,1,True,868061.5,TQ4562c,545750,162750
TQ4562d,0.72696,36347.90956,10.29325,1.57463,13652.09044,0,1,True,880614,TQ4562d,545250,162750
TQ4563a,0.72807,36403.71335,10.28828,1.56574,13596.28665,0,1,True,874272.5,TQ4563a,545250,163250
TQ4563b,0.73059,36529.54591,10.27696,1.54629,13470.45409,0,1,True,859894.5,TQ4563b,545750,163250
TQ4563c,0.73176,36587.93424,10.27166,1.53752,13412.06576,0,1,True,853428.5,TQ4563c,545750,163750
TQ4563d,0.72894,36447.01235,10.2844,1.55896,13552.98765,0,1,True,869349.5,TQ4563d,545250,163750
TQ4564a,0.72954,36477.16584,10.28169,1.55429,13522.83416,0,1,True,865875,TQ4564a,545250,164250
TQ4564b,0.73253,36626.46369,10.26815,1.53181,13373.53631,0,1,True,847913,TQ4564b,545750,164250
TQ4564c,0.7328,36639.77937,10.26693,1.52986,13360.22063,0,1,True,846071,TQ4564c,545750,164750
TQ4564d,0.72971,36485.64314,10.28093,1.55299,13514.35686,0,1,True,864893,TQ4564d,545250,164750
TQ4565a,0.72961,36480.54732,10.28139,1.55377,13519.45268,0,1,True,865479,TQ4565a,545250,165250
TQ4565b,0.73266,36632.76508,10.26757,1.53089,13367.23492,0,1,True,847036,TQ4565b,545750,165250
TQ4565c,0.73203,36601.67392,10.27041,1.53548,13398.32608,0,1,True,851792.5,TQ4565c,545750,165750
TQ4565d,0.74522,37261.02055,10.3429,2.46885,12738.97945,0,0.99992,True,770848,TQ4565d,545250,165750
TQ4566a,0.72836,36418.09252,10.28699,1.56348,13581.90748,0,1,True,872616,TQ4566a,545250,166250
TQ4566b,0.73098,36548.80507,10.27522,1.54338,13451.19493,0,1,True,857788,TQ4566b,545750,166250
TQ4566c,0.73591,36795.39121,10.34624,2.30127,13204.60879,0,0.99908,True,826764.5,TQ4566c,545750,166750
TQ4566d,0.72735,36367.38663,10.35579,2.19673,13632.61337,0,0.99925,True,878444.5,TQ4566d,545250,166750
TQ4567a,0.72608,36303.93961,10.29716,1.58175,13696.06039,0,1,True,885739,TQ4567a,545250,167250
TQ4567b,0.72807,36403.45403,10.2883,1.56578,13596.54597,0,1,True,874272.5,TQ4567b,545750,167250
TQ4567c,0.77316,38657.94049,10.50912,5.34613,11342.05951,0,0.76551,True,612648,TQ4567c,545750,167750
TQ4567d,0.78102,39050.86682,10.39354,4.02677,10949.13318,0,1,True,570636,TQ4567d,545250,167750
TQ4568a,0.72362,36181.08438,10.30798,1.60224,13818.91562,0,1,True,899598.5,TQ4568a,545250,168250
TQ4568b,0.72495,36247.37582,10.30215,1.59107,13752.62418,0,1,True,892144.5,TQ4568b,545750,168250
TQ4568c,0.75561,37780.39314,10.34709,2.56895,12219.60686,0,0.99993,True,711116.5,TQ4568c,545750,168750
TQ4568d,0.79216,39607.97109,10.35675,3.56757,10392.02891,0,0.99988,True,505902,TQ4568d,545250,168750
TQ4569a,0.72663,36331.25349,10.29473,1.57731,13668.74651,0,1,True,882536.5,TQ4569a,545250,169250
TQ4569b,0.72804,36402.15852,10.28842,1.56599,13597.84148,0,1,True,874459,TQ4569b,545750,169250
TQ4569c,0.73784,36892.00391,10.3374,2.19257,13107.99609,0,0.99585,True,815015.5,TQ4569c,545750,169750
TQ4569d,0.72856,36428.16289,10.28609,1.5619,13571.83711,0,1,True,871492.5,TQ4569d,545250,169750
TQ4570a,0.73057,36528.35546,10.27707,1.54647,13471.64454,0,1,True,860065,TQ4570a,545250,170250
TQ4570b,0.73278,36638.77411,10.26702,1.53001,13361.22589,0,1,True,846218,TQ4570b,545750,170250
TQ4570c,0.73533,36766.59954,10.25522,1.51161,13233.40046,0,1,True,830265.5,TQ4570c,545750,170750
TQ4570d,0.73258,36628.78033,10.26793,1.53147,13371.21967,0,1,True,847536.5,TQ4570d,545250,170750
TQ4571a,0.73443,36721.32065,10.25942,1.51805,13278.67935,0,1,True,835727,TQ4571a,545250,171250
TQ4571b,0.73786,36892.9404,10.24338,1.49407,13107.0596,0,1,True,814906.5,TQ4571b,545750,171250
TQ4571c,0.74008,37003.78836,10.23284,1.47915,12996.21164,0,1,True,801517,TQ4571c,545750,171750
TQ4571d,0.736,36800.13464,10.2521,1.50689,13199.86536,0,1,True,826220,TQ4571d,545250,171750
TQ4572a,0.73732,36866.23432,10.2459,1.49772,13133.76568,0,1,True,818166.5,TQ4572a,545250,172250
TQ4572b,0.74171,37085.2637,10.22498,1.46846,12914.7363,0,1,True,791722.5,TQ4572b,545750,172250
TQ4572c,0.77998,38999.01521,10.39093,3.44446,11000.98479,0,0.82825,True,576159.5,TQ4572c,545750,172750
TQ4572d,0.73942,36971.09225,10.23596,1.48351,13028.90775,0,1,True,805533,TQ4572d,545250,172750
TQ4573a,0.74106,37052.89477,10.22811,1.47268,12947.10523,0,1,True,795583,TQ4573a,545250,173250
TQ4573b,0.74673,37336.50575,10.20018,1.43677,12663.49425,0,1,True,762171,TQ4573b,545750,173250
TQ4573c,0.74763,37381.71485,10.19561,1.43126,12618.28515,0,1,True,756945,TQ4573c,545750,173750
TQ4573d,0.74155,37077.33558,10.22575,1.46949,12922.66442,0,1,True,792710.5,TQ4573d,545250,173750
TQ4574a,0.74091,37045.72906,10.22881,1.47362,12954.27094,0,1,True,796565,TQ4574a,545250,174250
TQ4574b,0.74651,37325.67711,10.20126,1.4381,12674.32289,0,1,True,763389.5,TQ4574b,545750,174250
TQ4574c,0.7437,37185.05947,10.21524,1.45564,12814.94053,0,1,True,779751,TQ4574c,545750,174750
TQ4574d,0.73921,36960.2742,10.237,1.48495,13039.7258,0,1,True,806768.5,TQ4574d,545250,174750
TQ4575a,0.73686,36843.14243,10.24807,1.50091,13156.85757,0,1,True,821065,TQ4575a,545250,175250
TQ4575b,0.74023,37011.6414,10.23208,1.47811,12988.3586,0,1,True,800633.5,TQ4575b,545750,175250
TQ4575c,0.73677,36838.58932,10.2485,1.50154,13161.41068,0,1,True,821560,TQ4575c,545750,175750
TQ4575d,0.73428,36714.03933,10.26009,1.51909,13285.96067,0,1,True,836595.5,TQ4575d,545250,175750
TQ4576a,0.73173,36586.34968,10.27181,1.53775,13413.65032,0,1,True,853583,TQ4576a,545250,176250
TQ4576b,0.73358,36679.14669,10.26331,1.52412,13320.85331,0,1,True,841036,TQ4576b,545750,176250
TQ4576c,0.73072,36536.12101,10.27637,1.54529,13463.87899,0,1,True,859272.5,TQ4576c,545750,176750
TQ4576d,0.72931,36465.70615,10.28272,1.55606,13534.29385,0,1,True,867239.5,TQ4576d,545250,176750
TQ4577a,0.7271,36355.24988,10.2926,1.57345,13644.75012,0,1,True,879818,TQ4577a,545250,177250
